"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Forest Fire Monitoring Quality Variation with Wireless Sensor Node Density","H. Li; G. -h. Li; H. -l. Feng; Z. Wang","School of Information Engineering, ZheJiang Forestry University, Hangzhou, China; School of Information Engineering, ZheJiang Forestry University, Hangzhou, China; School of Information Engineering, ZheJiang Forestry University, Hangzhou, China; State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China",2010 International Conference on Communications and Mobile Computing,"24 May 2010","2010","3","","339","342","The early detection and monitoring of forest fire is important for fire suppression quickly and reducing the loss of human and property. At present, forest fire monitoring techniques based on wireless sensor networks have drawn more and more attention from both academic and forestry field. In order to reduce the cost of monitoring system, it is necessary to monitor a biggest area with sensor nodes of given number. In this paper, based on the forest fire circular propagation model, the case where the sensors are located in a regular triangle grid is analyzed. Some results which relate the sensor node density to the forest fire monitoring quality are presented. The theoretical analysis and the results of Monte Carlo simulations show that, the expect value of the time to fire detection is proportional to the ration of node density to the fire propagation speed, and the expect value of burned area only depends on the node density, but it doesn’t depend on the distribution of the fire ignition and fire propagation model.","","978-1-4244-6328-2","10.1109/CMC.2010.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5471587","wireless sensor networks;forest fire;node density;simulation","Fires;Wireless sensor networks;Costs;Forestry;Sensor systems;Ignition;Remote monitoring;Mobile communication;Mobile computing;Laboratories","","1","","9","IEEE","24 May 2010","","","IEEE","IEEE Conferences"
"Application of wireless sensor networks in forest fire detection under uncertainty","S. Mal-Sarkar; I. U. Sikder; V. K. Konangi","Department of Computer and Information Science, Cleveland State University, Cleveland, OH, USA; Department of Computer and Information Science, Cleveland State University, Cleveland, OH, USA; Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA",2010 13th International Conference on Computer and Information Technology (ICCIT),"3 Mar 2011","2010","","","193","197","This paper proposes a soft computing approach to manage uncertainty and rule discovery by reasoning over inconsistent, incomplete and fragmentary information using dominance-based rough set theories. A methodological and computational basis is illustrated in a sensor network application scenario of a forest fire detection system.","","978-1-4244-8497-3","10.1109/ICCITECHN.2010.5723853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5723853","wireless sensor networks;soft computing;uncertainty;forest fire;rough set theory","Fires;Uncertainty;Wireless sensor networks;Set theory;Accuracy;Indexes","","4","","21","IEEE","3 Mar 2011","","","IEEE","IEEE Conferences"
"Forest fire detection system based on wireless sensor network","J. Zhang; W. Li; Z. Yin; S. Liu; X. Guo","School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China",2009 4th IEEE Conference on Industrial Electronics and Applications,"30 Jun 2009","2009","","","520","523","As we all know, the forest is considered as one of the most important and indispensable resources, the prevention and detection of the forest fire, have been researched hotly in worldwide forest fire prevention departments. Based on the deficiencies of conventional forest fire detection on real time and monitoring accuracy, the wireless sensor network technique for forest fire detection was introduced, together with satellite monitoring, aerial patrolling and manual watching, an omni-bearing and stereoscopic air and ground forest-fire detection pattern was found so that the decision for fire-extinguishing or fire prevention can be made rightly and real-timely by related government departments. A cluster-based wireless sensor network paradigm for forest fire real-time detection was put forward in this paper. Some key questions were discussed emphatically, such as the ad hoc network related technology, the node hardware designing, the forest-fire forecasting model and the propagation characteristic of UHF wireless signal and so on.","2158-2297","978-1-4244-2799-4","10.1109/ICIEA.2009.5138260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5138260","forest fire detection;wireless sensor network;ad hoc network;radio wave attenuations;wireless communication","Fires;Wireless sensor networks;Monitoring;Satellites;Manuals;Government;Ad hoc networks;Hardware;Signal design;Technology forecasting","","75","1","12","IEEE","30 Jun 2009","","","IEEE","IEEE Conferences"
"Low-Power Distributed Sensor Network for Wildfire Detection","T. Blalack; D. Ellis; M. Long; C. Brown; R. Kemp; M. Khan","Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA; Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA; Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA; Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA; Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA; Department of Electrical Engineering; * Department of Mechanical Engineering, Arkansas Tech University, Russellville, AR, USA",2019 SoutheastCon,"5 Mar 2020","2019","","","1","3","Low cost and low power wildfire sensing technology has the potential to provide everyday consumer with access to government grade Internet of Things sensing technology. The proposed wildfire detection system combines the latest environmental sensing devices to provide crucial data to the consumer allowing shorter response times to a threat level fire. The sensor command mode interacts with separate alarm levels that communicate with our visual detection system which aids the user with the most accurate data possible. Most traditional wildfire detection systems are very costly and unavailable to average consumers. This project focuses on bringing accurate detection sequences to the end user by using new less expensive technology. It also enables the users to access the data from a cloud based storage. Further developments will enable provision of a live feed visual of the detected disturbance to the users.","1558-058X","978-1-7281-0137-8","10.1109/SoutheastCon42311.2019.9020478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020478","Internet of Things;Detection Sequences;Sensor command mode;Cloud service;Wildfire Detection Introduction","Fires;Logic gates;Humidity;Temperature sensors;Cameras;Wireless sensor networks","","9","","6","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Forest fire monitoring and detection of faulty nodes using wireless sensor network","S. Mohapatra; P. M. Khilar","Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, India; National Institute of Technology Rourkela, Rourkela, Orissa, IN",2016 IEEE Region 10 Conference (TENCON),"9 Feb 2017","2016","","","3232","3236","Forests are considered as savior of earth's ecological balance and considered to be one of the most essential resource. However, due to some reasons forest fire occurs which can affect the life of people, wild animals, forest resources and hence a disastrous loss to the environment. Forest fire detection is one of the most safety-critical application. In certain situations, sensor node may give incorrect data due to some faults in it. Since the network is unaware of the fault, it might lead to a serious problem. So, our objective is to detect the faulty nodes as well as the probability of fire to reduce the disastrous loss. In this paper, an algorithm was proposed to detect the faulty nodes and the probability of fire. We have calculated the probability of fire by using fuzzy logic. To validate the proposed algorithm we have conducted an experiment in an indoor laboratory environment.","2159-3450","978-1-5090-2597-8","10.1109/TENCON.2016.7848647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7848647","Wireless sensor network;detection of faulty nodes;detection of forest fire","Wireless sensor networks;Humidity;Fuzzy logic;Temperature sensors;Monitoring;Probability;Temperature distribution","","21","","15","IEEE","9 Feb 2017","","","IEEE","IEEE Conferences"
"A forest fire prediction system based on rechargeable wireless sensor networks","G. Demin; L. Haifeng; J. Anna; W. Guoxin","School of Computer Science and Engineering, Southeast University, Nanjing, China; College of Information Science and Technology, Nanjing Forestry University, Nanjing, China; College of Information Science and Technology, Nanjing Forestry University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China",2014 4th IEEE International Conference on Network Infrastructure and Digital Content,"5 Jan 2015","2014","","","405","408","As the most important factors, local weather observations, environments and human behaviors' characteristics are found highly correlated to forest fire occurrence. Therefore, we introduce a set of fuzzification to assess fire risk in the study area and establish a quantitative potential fire risk scheme. The wireless sensor network's technology was utilized for collecting 24-hour weather data continuously, which provides a high chance to reflect accurately the status of forest environment. Depending on the system, we can obtain which days are the high possibility of forest fires danger and paid special attention to prevent forest fire for forest guards.","2374-0272","978-1-4799-4734-8","10.1109/ICNIDC.2014.7000334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7000334","forest fire;forest fire prediction;fuzzy reasoning;wireless sensor networks","Fires;Wireless sensor networks;Fuzzy reasoning;Humidity;Temperature distribution;Temperature sensors","","14","","16","IEEE","5 Jan 2015","","","IEEE","IEEE Conferences"
"Forest Fire Detection and Guiding Animals to a Safe Area by Using Sensor Networks and Sound","V. S; T. M. G; S. Nandi; S. M; A. P","Department of computer science and engineering, Sri Sai Ram Institute of Technology, Chennai; Department of computer science and engineering, Sri Sai Ram Institute of Technology, Chennai; Department of computer science and engineering, Sri Sai Ram Institute of Technology, Chennai; Department of computer science and engineering, Sri Sai Ram Institute of Technology, Chennai; Department of computer science and engineering, Sri Sai Ram Institute of Technology, Chennai",2021 4th International Conference on Computing and Communications Technologies (ICCCT),"18 Feb 2022","2021","","","473","476","Forest fires are one of the main causes of environmental degradation. More than a million species of animals have lost their lives in the 2019–2020 wildfire that spread in the Amazon forest. The model that we are proposing, intends to drastically reduce the number of lives lost in such unfortunate events and also alert the first response accelerating their momentum. Our idea is to have Wireless Sensor Networks (WSN) placed in a widely distributed manner across the forest area. Each module consists of a smoke sensor, temperature, humidity sensor, and a speaker which is connected to a Node-MCU. These modules collect data that is necessary for the prediction of wildfires. The data collected is analyzed along with the wind direction by our deep learning algorithm which predicts the wildfire spreading direction. This prediction is used to find a safe route for the animals to move away and get to a safe zone. Then the animals are manipulated to move away from the wildfire with the help of distressing sounds produced from the speaker triggering their flight response for their self-preservation. These distressing sounds are produced in a pattern rather than just producing it wherever wildfire is present. Hence leading wildlife to a safe zone And also nearby villages can be warned by a siren.","","978-1-6654-1447-0","10.1109/ICCCT53315.2021.9711785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711785","forest fire;deep learning;grids;module;sensors;self-preservation","Temperature sensors;Wireless sensor networks;Computational modeling;Wildlife;Fires;Forestry;Humidity","","4","","15","IEEE","18 Feb 2022","","","IEEE","IEEE Conferences"
"Forest Fire Detection Using nRF24L01 Wireless Sensor Network And Prediction by Machine Learning Model","P. A. Anshad; N. M. Gowda; V. C. K; A. S. Prasad","Department of ECE, JSS STU, Mysuru, India; Department of ECE, JSS STU, Mysuru, India; Department of ECE, JSS STU, Mysuru, India; Department of ECE, JSS STU, Mysuru, India",2023 International Conference on Recent Trends in Electronics and Communication (ICRTEC),"3 May 2023","2023","","","1","5","Forest fire is a major problem in recent years which creates natural disasters. An effective method for the detection and prediction of forest fires reduces the devastating effect. An effective method to predict and detect forest fires in real time is implemented in the paper. Real-time forest fire detection is done by considering various parameters like temperature, humidity, and smoke intensity with the help of nRF24L01 based wireless sensor network established using tree topology. Prediction of forest fire is done by integrating neural prophet and logistic regression machine learning models by considering key environmental parameters. The prediction accuracy of 86.67% was obtained by considering the parameters like earth skin temperature, wind speed, relative humidity, and precipitation. The prediction model is able to predict fire occurrence efficiently from 2013 to 2015 which has been validated with the available dataset.","","979-8-3503-9619-5","10.1109/ICRTEC56977.2023.10111910","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10111910","Forest Fire Detection;Wireless Sensor Network;nRF24L01;ESP8266;Neural prophet;Logistic regression","Temperature sensors;Wireless sensor networks;Wind speed;Forestry;Machine learning;Humidity;Predictive models","","2","","14","IEEE","3 May 2023","","","IEEE","IEEE Conferences"
"Real-time Forest Fire Detection and Alert System Using Wireless Sensor Networks and Solar Energy","N. Dharap; R. Porwal; S. Jindal","School of Electronics Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; School of Electronics Engineering, Vellore Institute of Technology, Vellore, Tamilnadu; School of Electronics Engineering, Vellore Institute of Technology, Vellore, Tamilnadu",2023 International Conference on Next Generation Electronics (NEleX),"16 Feb 2024","2023","","","1","5","This work proposes the design and implementation of a real-time forest fire detection and alert system utilizing wireless sensor networks (WSN) and solar energy. The system utilizes ESP-NOW protocol for wireless communication among the sensor nodes, which are strategically placed in the forest to detect any potential fire hazards. The sensor nodes are powered by renewable energy sources, specifically solar panels, to ensure sustainable and long-term operation. The collected data is then transmitted to a central control unit for analysis and decision-making. In the event of a fire, the system will trigger an alert to notify relevant authorities for immediate action. The proposed system aims to provide an efficient and eco-friendly solution for the early detection and prevention of forest fires.","","979-8-3503-1908-8","10.1109/NEleX59773.2023.10420922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420922","Forest Fire Detection;Wireless Sensor Networks;Monitoring System;Embedded Systems;IoT;ESP8266","Wireless communication;Wireless sensor networks;Protocols;Forestry;Solar energy;Real-time systems;Monitoring","","2","","15","IEEE","16 Feb 2024","","","IEEE","IEEE Conferences"
"Performance evaluation of routing protocols for wireless sensor networks in forest fire detection application","M. Keshtgary; N. Rikhtegar","Department of Computer Engineering and Information Technology, Shiraz University of Technology, Shiraz, Iran; Department of Computer Engineering and Information Technology, Shiraz University of Technology, Shiraz, Iran",The 5th Conference on Information and Knowledge Technology,"7 Oct 2013","2013","","","248","251","Nowadays, the wireless sensor networks have critical applications in the environmental monitoring, medical, security, industrial and military fields. The forest fire detection as a monitoring network is one of these applications. Sensors collect dynamic changes such as temperature, humidity, smoke, atmospheric pressure and forward those to a single node or a base station. These informations are sent to a long-distance data server which is located in a fire center. Due to the importance of these networks and their ability of real-time monitoring, they should be a reliable network communications. On the other hand, due to the limitations of sensors in processing, memory and energy resource, we need protocols that consider these limitations, especially energy. Energy consumption is important because sensors are often remote, or are located in hazardous areas. Typically, the energy resources are very small batteries that are not rechargeable and replaceable. In this paper, the performance of three routing protocols: AODV, DSR, DSDV in the forest fire detection application based on a zigbee wireless sensor network are compared. The metrics for this comparison are average end-to-end delay, packet delivery ratio and energy consumption. We evaluate their performance using NS-2. Our results show that AODV is the best between these three protocols regarding packet delivery ratio but is the worst regarding energy consumption.","","978-1-4673-6490-4","10.1109/IKT.2013.6620073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6620073","wireless sensor network;forest fire detection;Zigbee;routing protocol;AODV;DSR;DSDV","Routing protocols;Wireless sensor networks;Fires;Energy consumption;Sensors;Routing","","10","","10","IEEE","7 Oct 2013","","","IEEE","IEEE Conferences"
