file,category,pde_subcategories,sde_subcategories,sensor_subcategories,equation_excerpts
An_Early_Forest_Fire_Detection_System_Based_on_DJI_M300_Drone_and_H20T_Camera.pdf,Neither,None,None,None,None
WF15090.pdf,Neither,None,None,None,None
Research_and_implementation_of_forest_fire_early_warning_system_based_on_UWB_wireless_sensor_networks.pdf,SDE-only,None,control system,signal processing,None
Forest_Fire_Detection_Using_nRF24L01_Wireless_Sensor_Network_And_Prediction_by_Machine_Learning_Model (1).pdf,SDE-only,None,machine learning model,None,None
Placing_Multiple_Sinks_in_Time-Sensitive_Wireless_Sensor_Networks_using_a_Genetic_Algorithm.pdf,PDE-only,objective function,None,None,"with
d =f, i
τ=g, p= p, i i
i=1, s= s, j j
j=1, i
i=1
where
n"
1-s2.0-S0168192317302903-main.pdf,Neither,None,None,None,None
Gossip_routing_protocol_for_forest_fire_detection_using_wireless_sensor_networks.pdf,PDE-only,boundary conditions,None,None,"U
There comes a point of time when the throughput abruptly LISTEN DataRec=true REC_DATA
falls to zero, Msg_ID=NID"
Forest_Fire_Detection_and_Guiding_Animals_to_a_Safe_Area_by_Using_Sensor_Networks_and_Sound (1).pdf,Neither,None,None,None,None
An_insight_to_forest_fire_detection_techniques_using_wireless_sensor_networks.pdf,SDE-only,None,optimization technique,None,None
Adaptive_MAC_protocols_for_forest_fire_detection_using_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
A_Preliminary_Prototype_of_LoRa-Based_Wireless_Sensor_Network_for_Forest_Fire_Monitoring.pdf,Sensors,None,None,signal processing,None
Robot-based_forest_fire_detection_and_extinguishing_model.pdf,SDE-only,None,control system,None,None
IoT_based_Forest_Fire_Prediction_Framework.pdf,Neither,None,None,None,None
3630590.3630602.pdf,Neither,None,None,None,None
WF11168.pdf,Neither,None,None,None,None
Low-Power_Distributed_Sensor_Network_for_Wildfire_Detection.pdf,Sensors,None,None,signal processing,None
Survivability_in_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
Wildfire_Detection_and_Avoidance_of_false_Alarm_Using_Densenet.pdf,SDE-only,None,statistical analysis,None,None
Integrated_Wireless_Sensor_Network_and_Machine_Learning_Algorithm_Based_Forest_Fire_Detection_System.pdf,SDE-only,None,machine learning model,None,None
2D_coverage_analysis_of_sensor_networks_with_random_node_deployment.pdf,Sensors,None,None,signal processing,None
Forest_Fire_Detection_and_Prediction__Survey.pdf,SDE-only,None,"predictive model, risk assessment",None,None
1-s2.0-S0198971512000300-main.pdf,Neither,None,None,None,None
Early_Forest_Fire_Prediction_System_Using_Wireless_Sensor_Network (1).pdf,Neither,None,None,None,None
The_Deterministic_Sensor_Deployment_Problem_for_Barrier_Coverage_in_WSNs_With_Irregular_Shape_Areas.pdf,PDE-only,"problem formulation, objective function",None,None,"upbound=Len c, s j =1, s =2, The stationary point that
sensor and terminator sensor of the barrier are respectively
occurs at x = 0 is an inflection point, y p = B A x, p =GetStart, p =GetTerminal, TurningSet =GetInflection, ConvexPolygon=ConvexHull, SideSet=SideFind, p intersect= GetIntersect, p l_start = GetStart, p l_terminal= GetTerminal, p l_turning= FindTurning, start = p l_start, terminal = p l_turning, start = p, terminal = p l_terminal, SideSet = SideSet, Because l = 150, we create one straight line selected from the area left of the linear equation x = 150, untilthestraightline the linear equation x = 150, the point selected on the right of x = 150 causes the
intersectionwith the entryside or the exitside, ld=W, le=L, SIMULATIONPARAMETERS rier in varied boundaries of the irregular shape areas with
l = 66, 67 units of distance and l = L, given L =
200 units of distance and W, = 200 units of distance, 112 and 92 units of
l d =W, Given L = 500 units of distance and
as l e, = L, when the boundary W = 200 units of distance, ld=W, le=L, ld=W, le=2L, ld=W, le=L, given L = of the barriers planned by ECL, CSD and the proposed
200 units of distance and W = 200 units of distance, given L = 200 units of distance, l = L, l = 2L, This also supports our observations
e e
and W = 200 units of distance, the Euclidean distance of the
when given the length of the barrier l = L, 2 and l = entry side is fixed at l, = L, we can obtain the side is set to l = W, ld=W, le=L, 13 are fixed at l = L, given L = 200 units of distance with a probabilistic sensing model in irregular shape areas, and W = 200 units of distance, when l = W"
Self-organizing_routing_protocol_to_achieve_QoS_in_wireless_sensor_network_for_forest_fire_monitoring.pdf,Neither,None,None,None,None
Advanced_Forest_Fire_Alert_System_with_Real-time_GPS_Location_Tracking.pdf,Neither,None,None,None,None
IoT_Enabled_Forest_Fire_Detection_and_Early_Warning_System (1).pdf,Neither,None,None,None,None
Integrating_Forest_Fire_Detection_with_Wireless_Sensor_Network_Based_on_Long_Range_Radio.pdf,Neither,None,None,None,None
Adaptive_Weighted_Fusion_Algorithm_for_Monitoring_System_of_Forest_Fire_Based_on_Wireless_Sensor_Networks.pdf,SDE-only,None,statistical analysis,None,None
Wireless_Sensor_Network_Framework_for_Early_Detection_and_Warning_of_Forest_Fire (1).pdf,Neither,None,None,None,None
3419249.3421239.pdf,Neither,None,None,None,None
1-s2.0-S0301479720303832-main.pdf,SDE-only,None,risk assessment,None,None
IoT_Enabled_Forest_Fire_Detection_and_Early_Warning_System.pdf,Neither,None,None,None,None
2964284.2976761.pdf,Neither,None,None,None,None
Forest_Wild_Fire_Detection_using_Deep_Learning_Approach.pdf,SDE-only,None,machine learning model,None,None
Forest_Fire_Detection_using_LoRa_Wireless_Mesh_Topology (1).pdf,Neither,None,None,None,None
Communication_Perspective_of_Wildfire_Detection_and_Suppression_A_Survey_of_Technologies_Requirements_and_Future_Directions.pdf,Neither,None,None,None,None
Design_and_Development_of_Forest_Fire_Monitoring_Terminal.pdf,Sensors,None,None,signal processing,None
Artificial_neural_network-based_forest_fire_detection_system_using_wireless_sensor_network.pdf,Neither,None,None,None,None
LPWA_Based_Module_for_Forest_Fire_Detection.pdf,Neither,None,None,None,None
Monitoring_system_for_forest_fire_based_on_wireless_sensor_network.pdf,Sensors,None,None,signal processing,None
Forest_fire_monitoring_and_detection_of_faulty_nodes_using_wireless_sensor_network.pdf,Neither,None,None,None,None
Wireless_Sensor_Networks_for_Early_Detection_of_Forest_Fires.pdf,Neither,None,None,None,None
Wireless_Sensor_Network_for_Wildfire_Detection_and_Notification_via_Walkie__Talkie_Network (1).pdf,Neither,None,None,None,None
Wireless_Sensor_Routing_Protocol_Research_Based_on_Forest_Fire_Protection.pdf,Neither,None,None,None,None
Forest_Fire_Detection_and_Warning_System_for_Disaster_Prevention.pdf,SDE-only,None,control system,None,None
s11235-009-9191-8.pdf,Neither,None,None,None,None
WF14016.pdf,PDE-only,boundary conditions,None,None,$50 CA$
Development_and_In-situ_Teaching_of_Disaster-resistant_Monitoring_System_on_Slopeland_with_Micro-weather_Stations_and_Microcontrollers.pdf,SDE-only,None,control system,None,None
Emerging_Methods_for_Early_Detection_of_Forest_Fires_Using_Unmanned_Aerial_Vehicles_and_Lorawan_Sensor_Networks.pdf,Neither,None,None,None,None
Forest_Fire_Detection_in_Wireless_Sensor_Network_Using_Fuzzy_Logic.pdf,SDE-only,None,control system,None,None
Reliability_analysis_of_Wireless_Sensor_Networks_for_forest_fire_detection.pdf,Neither,None,None,None,None
3607947.3607994.pdf,Neither,None,None,None,None
WF07137.pdf,Neither,None,None,None,None
A_Proposed_Methodology_to_detect_Forest_Fire.pdf,Neither,None,None,None,None
Wireless_infrastructure_for_remote_environmental_monitoring_Deployment_and_evaluation.pdf,Neither,None,None,None,None
IoT_and_Image_Processing_based_Forest_Monitoring_and_Counteracting_System.pdf,Neither,None,None,None,None
FPGA_implementation_of_artificial_Neural_Network_for_forest_fire_detection_in_wireless_Sensor_Network.pdf,Neither,None,None,None,None
Computational_intelligence_applied_to_wildfire_prediction_using_wireless_sensor_networks (1).pdf,Neither,None,None,None,None
System_based_on_sensor_networks_for_application_in_forest_fire_prevention.pdf,Neither,None,None,None,None
Wireless_Sensor_Systems_for_Space_and_Extreme_Environments_A_Review.pdf,Neither,None,None,None,None
Real-time_Forest_Fire_Detection_and_Alert_System_Using_Wireless_Sensor_Networks_and_Solar_Energy (1).pdf,Neither,None,None,None,None
Dynamic_and_Energy_Efficient_Data_Traffic_Scheduling_for_Earlier_Forest_Fire_Detection_using_WSN.pdf,Neither,None,None,None,None
Development_of_Survival_Path_Routing_Protocol_for_Scalable_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
Optimal_fireline_generation_for_wildfire_fighting_in_uncertain_and_heterogeneous_environment.pdf,SDE-only,None,"optimization technique, risk assessment, decision support system",None,None
3576842.3589180.pdf,Neither,None,None,None,None
Creation_of_an_FPGA-WSN-based_Forest_Fire_Alert_System_using_Data-Driven_Attribute_Relationship_Determination.pdf,Neither,None,None,None,None
A_Guide_Towards_Implementing_an_Effective_Forest_Fire_Detection_System_Key_Factors_and_Research_Gaps (1).pdf,Neither,None,None,None,None
A_Survey_of_Multi-Objective_Optimization_in_Wireless_Sensor_Networks_Metrics_Algorithms_and_Open_Problems.pdf,Both PDE and SDE,objective function,decision support system,signal processing,"which is divided into G = xy rectangular
isnormallydefinedwithrespecttothesensingrangeofasen, T =minT, y
f
con
= 1, where j=1, i=1
portional both to the average rate of its own information
where R ci, i i i i
i=0
tivity hinges on the ratio of the communication range to
the sensing range, η = 2 i, usi = T q, logx α =1, When we have α = 1, pt =of, rof 0ra at ne ds ζ =1, x= i, ert ehe ca =gg, tio Sn reb pe rt ew se ee nn tst th he er ca un rd ro em
nt
ow
is
ti ht
a
eh rwe ma iac sth erixe Al ie mtm
ha
=e tn 0t
s, aA te= m, b =le
Authorized licensed use limited to, i=1, j=1, m=2, A =1, arnumber=7322190 vey of congestion control protocols in wireless sensor networks, arnumber=7123559 Feb, arnumber=7303936
coverage and end"
Multi-AI_Based_Wireless_Sensor_Node_for_Forest_Fire_Detection.pdf,Neither,None,None,None,None
Developing_an_efficient_framework_for_real_time_monitoring_of_forest_fire_using_wireless_sensor_network (1).pdf,Sensors,None,None,physical parameters,None
mass-ghs07.pdf,Sensors,None,None,sensor accuracy,None
Current_Status_of_Micro_Nanosensors_and_Their_Potential_Applicability_to_the_Prevention_and_Early_Detection_of_Forest_Fires.pdf,SDE-only,None,risk assessment,None,None
An_insight_to_forest_fire_detection_techniques_using_wireless_sensor_networks (1).pdf,SDE-only,None,optimization technique,None,None
1410077.1410097.pdf,Neither,None,None,None,None
1287767.1287785.pdf,Neither,None,None,None,None
3611314.3616067.pdf,Neither,None,None,None,None
