file,category,pde_subcategories,sde_subcategories,sensor_subcategories,equation_excerpts
An_Early_Forest_Fire_Detection_System_Based_on_DJI_M300_Drone_and_H20T_Camera.pdf,Neither,None,None,None,None
WF15090.pdf,Neither,None,None,None,None
Research_and_implementation_of_forest_fire_early_warning_system_based_on_UWB_wireless_sensor_networks.pdf,SDE-only,None,control system,"signal processing, reconfigurable, fusion, data transmission",None
IoT-Enhanced_Forest_Fire_Monitoring_and_Notification_System.pdf,SDE-only,None,statistical analysis,"data transmission, statistical analysis",None
Evaluation_of_Fire_Intensity_Based_on_Neural_Networks_in_a_Forest-Fire_Monitoring_System.pdf,SDE-only,None,decision support system,signal processing,None
Forest_Fire_Detection_Using_nRF24L01_Wireless_Sensor_Network_And_Prediction_by_Machine_Learning_Model (1).pdf,SDE-only,None,machine learning model,machine learning models,None
Detection_of_forest_fire_using_Dezert-Smarandache_theory_in_wireless_sensor_networks.pdf,Sensors,None,None,fusion,None
Detection_of_Forest_Fire_using_CNN_U-Net_model.pdf,Irrelevant,None,None,None,None
The_Technological_Ecosystem_of_Modern_Wildfire_Detection_A_Review.pdf,SDE-only,None,risk assessment,"spatial resolution, temporal resolution, risk assessment",None
A_Hybrid_Mesh_Ad_Hoc_and_Sensor_Network_for_Forest_Fire_Management.pdf,Sensors,None,None,"fusion, intelligent sensors",None
Placing_Multiple_Sinks_in_Time-Sensitive_Wireless_Sensor_Networks_using_a_Genetic_Algorithm.pdf,PDE-only,objective function,None,None,"with d =f, i  =g, p= p, i i i=1, s= s, j j j=1, i i=1 where n"
A_Federated_Learning_Framework_Based_on_Spatio-Temporal_Agnostic_Subsampling_STAS_for_Forest_Fire_Prediction.pdf,Sensors,None,None,machine learning models,None
1-s2.0-S0168192317302903-main.pdf,Irrelevant,None,None,None,None
Application_of_WSN_in_UAV.pdf,Neither,None,None,None,None
Gossip_routing_protocol_for_forest_fire_detection_using_wireless_sensor_networks.pdf,PDE-only,boundary conditions,None,None,"u there comes a point of time when the throughput abruptly listen datarec=true rec_data falls to zero, msg_id=nid"
Forest_Fire_Detection_and_Guiding_Animals_to_a_Safe_Area_by_Using_Sensor_Networks_and_Sound (1).pdf,Neither,None,None,None,None
Smart_Sensor_System_for_Detection_and_Forecasting_Forest_Fire_Hotspot_in_Riau_Province_Indonesia.pdf,Both PDE and SDE,temporal dynamics,control system,None,$31.00  2021 ieee 5353949.1202.08025netoci/9011.01 :iod | eeei 1202  00.13$
Emerging_Technologies_for_Prevention_and_Monitoring_of_Forest_Fire.pdf,SDE-only,None,control system,None,None
Experience_from_a_Pilot_Implementation_of_an_In-Situ_Forest_Temperature_Measurement_Network.pdf,SDE-only,None,risk assessment,"risk assessment, optimization techniques",None
Developing_a_Robotic_Solar-Powered_Fire_Detection_and_Avoidance_System_With_Machine_Learning-Based_Sensing.pdf,Sensors,None,None,"signal processing, fusion",None
An_insight_to_forest_fire_detection_techniques_using_wireless_sensor_networks.pdf,SDE-only,None,optimization technique,"fusion, data transmission",None
SimConnector_An_approach_to_testing_disaster-alerting_systems_using_agent_based_simulation_models.pdf,SDE-only,None,"simulation model, decision support system",simulation models,None
In-Depth_Analysis_of_LoRa_Mesh_Routing_for_Effective_Forest_Fire_Prevention.pdf,Sensors,None,None,"energy efficiency, data transmission",None
An_Intelligent_Path_Planning_Mechanism_for_Firefighting_in_Wireless_Sensor_and_Actor_Networks.pdf,PDE-only,objective function,None,"signal processing, energy efficiency, data transmission","pd =pdandpf, =pf foranyi, m = a, i=1 the temperature sensors in a cluster monitor and record as it can be noticed from, i=1, pd =1  1 apd  pd, rather c i i th i=1 than self, thisisbecausethe pf =1  1 apf  pf, energy provided by the harvesting system is often intermittent c i i th i=1 and heavily impacted by the climate condition, all the i=1 parameters used in the optimization are defined in table i, which i i i i i i means that the residual energy level should not be smaller i=1 thanapredefinedlevele th aftertaskallocation, q i = 1 p i, and index and p i = 1 means robot i is assigned to eh, i =   i and   i, i =   i, the above expression p = 0 means robot i is not assigned to eh, toamoretractableformbymappingp i andq i toacontinuous l = f    et 1, we rewrite the relaxed problem i i i i i i th i i i=1 as follows, qi i i i i i i i=1 i, i=1 i i i i i i next, value of p after a series of mathematical operations based on i f =min et 1, a= s fm oli ln owpi, i fs p  i = e th h  ite, q  =1 p, l = f    et 1, and they send this i=1, those robots inside the cluster with the operational i=1 i, 1 i=1 authorized licensed use limited to, b e1 nis  l =j1, the gaussian membership as vt =rt, be r = cos, the highest perature sensors in each cluster report their measurements to f f value of r is achieved when   =0, the number of activated sensors should   j bt =   l jn, n=1 of robots according to eq, should be noted that the normalization condition j r  j bt = 1 should also be satisfied, oj=argmax k sq lj, then put the firefighting robots into their default mode oj=randomk s, 1 =   j bt, and  =0, t = 15s, movingwithaconstantspeedv=30 km"
Early_Detection_of_Forest_Fire_Using_Internet_of_Things.pdf,Sensors,None,None,data transmission,None
Prediction_of_Forest_Fire_using_Neural_Network_based_on_Extreme_Learning_Machines_ELM.pdf,Neither,None,None,None,None
Fire_Incidents_Detection_using_Telegram_Bot.pdf,Sensors,None,None,ultrasonic sensors,None
Leveraging_Radial_Basis_Function_Neural_Networks_with_Adaptive_Variability_Functionality_to_Predict_Wild_Fires.pdf,SDE-only,None,machine learning model,fusion,None
Forest_Fire_Detection_Based_on_Light-Weight_Deep_Neural_Networks.pdf,Sensors,None,None,"signal processing, fusion",None
Adaptive_MAC_protocols_for_forest_fire_detection_using_Wireless_Sensor_Networks.pdf,Sensors,None,None,energy efficiency,None
A_study_on_disaster_detection_and_management_using_WSN_in_Himalayan_region_of_Uttarakhand.pdf,Sensors,None,None,"signal processing, optimization techniques",None
Intelligent_control_and_evolutionary_strategies_applied_to_multirobotic_systems.pdf,SDE-only,None,"simulation model, control system",simulation models,None
